Name
Adyar Anandha Bhavan
Parsa's
Barista Lavazza
Bikanervala
Burgs
Café Coffee Day
Chai Point
Dindigul Thalappakatti Restaurant
Darshini
Dosa plaza
Drunken Monkey
Faasos
Flurys
Goli Vada Pav
Haldiram's
Indian Coffee House
Jumbo King
K.C. Das Grandsons
Karachi Bakery
Kwality Wall's
Mavalli Tiffin Room
Monginis
Nirula's
Natural Ice Cream
Pizza Corner
Rebel Foods
Ratna Cafe
Saravana Bhavan
Smokin' Joe's
Wow! Momo
The Chocolate Room (cafe)
Au Bon Pain
Auntie Anne's
Baskin-Robbins
Burger King
Carl's Jr.
Cinnabon
Costa Coffee
Ichibanya
IHOP
Domino's Pizza
Dunkin' Donuts
Johnny Rockets
KFC
Krispy Kreme
McDonald's
Papa John's Pizza
Pita Pit
Pizza Hut
PizzaExpress
Quiznos
Sal's Pizza
Sbarro
Starbucks Coffee
Subway
Taco Bell
Tim Hortons
Wendy's
Wetzel's Pretzels
6 Ballygunge Place
Aminia
Anjappar Chettinad Restaurant
Dindigul Thalappakatti Restaurant
Karim's
Mainland China
Mainland China Asia Kitchen
Moshe's
Moti Mahal Delux
Oh! Calcutta
Subbayya Gari Hotel
California Pizza Kitchen
Chili's
Hard Rock Cafe
Nando's
Ruby Tuesday
TGI Fridays
Yauatcha
